correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_true_bias,mean_estimate,abs_bias_true,coverage_true,coverage_obs
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10112439491776302,0.0011243949177630191,0.915,0.9086
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,4,0,0.1,0.09116823302454596,OPW,0.09288870550592003,0.0071112944940799755,0.8804,0.8768
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09828232692195338,0.0017176730780466276,0.9117,0.911
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,0,0,0,-0.00245721773328369,CW,-0.0024424758816690953,0.0024424758816690953,0.8788,0.8796
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,4.254063467946233e-4,0.8762,0.8764
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,4,4,0,0.03646026958428305,OPW,0.03467760743903138,0.03467760743903138,0.8667,0.8751
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10714532529792341,0.007145325297923402,0.9052,0.9024
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,4,0,0.1,0.09116823302454596,no_weight,0.09116823302454596,0.008831766975454042,0.8706,0.8695
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,MOPW,0.4475622929028992,0.05243770709710083,0.8817,0.828
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,OPW,0.4223702926008442,0.07762970739915581,0.8636,0.8492
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0016185299042021496,0.0016185299042021496,0.9011,0.9001
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,OPW,-3.4973761558721274e-4,3.4973761558721274e-4,0.878,0.8778
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,MOPW,-3.4973761558721274e-4,3.4973761558721274e-4,0.878,0.8778
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.03466728389043474,0.03466728389043474,0.8873,0.9015
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.09713373150285949,0.0028662684971405145,0.9016,0.8985
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10074964479109211,7.496447910921022e-4,0.8953,0.8921
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,0,0,0,-0.00245721773328369,PPW,-9.13103377093013e-4,9.13103377093013e-4,0.9188,0.9189
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-3.162813727920812e-5,3.162813727920812e-5,0.9225,0.9223
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,4,4,0,0.03646026958428305,PPW,0.02930980042460311,0.02930980042460311,0.8975,0.9149
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,0,4,0.1,0.08938054766039766,no_weight,0.08938054766039766,0.010619452339602348,0.8749,0.8746
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,4,0,0.1,0.09116823302454596,OPW,0.09832453819137865,0.0016754618086213535,0.8783,0.8753
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,CW,-0.0024424758816690953,0.0024424758816690953,0.8788,0.8796
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,4.254063467946233e-4,0.8762,0.8764
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.021896612249252153,0.021896612249252153,0.9143,0.9166
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,0,4,0.1,0.08938054766039766,OPW,0.09203959841436472,0.007960401585635282,0.8843,0.8769
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10213367058788095,0.0021336705878809425,0.9113,0.9063
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09874172467496556,0.001258275325034447,0.907,0.908
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,0,0,0,-0.00245721773328369,CW,-0.0024424758816690953,0.0024424758816690953,0.8788,0.8796
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,4.254063467946233e-4,0.8762,0.8764
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,4,4,0,0.03646026958428305,PPW,-0.0034988334442010226,0.0034988334442010226,0.9205,0.8801
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.09673199822151696,0.0032680017784830484,0.9172,0.9145
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.09808858012144418,0.0019114198785558228,0.9135,0.9113
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,0,0,0,-0.00245721773328369,CW,-0.0024424758816690953,0.0024424758816690953,0.8788,0.8796
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,4.254063467946233e-4,0.8762,0.8764
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,4,4,0,0.03646026958428305,OPW,-0.01145683226094948,0.01145683226094948,0.8687,0.8535
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,0,4,0.1,0.08938054766039766,no_weight,0.08938054766039766,0.010619452339602348,0.8749,0.8746
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10006520058181324,6.520058181323785e-5,0.8982,0.8962
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,OPW,0.4230898561108384,0.07691014388916162,0.8577,0.8544
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0015725024903585163,0.0015725024903585163,0.9023,0.9018
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,OPW,-3.687415681552835e-4,3.687415681552835e-4,0.8743,0.8747
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,MOPW,-3.687415681552835e-4,3.687415681552835e-4,0.8743,0.8747
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,OPW,0.01984836039257939,0.01984836039257939,0.8717,0.869
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,MOPW,0.01984836039257939,0.01984836039257939,0.8717,0.869
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.1033224168163526,0.0033224168163525913,0.904,0.9012
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,4,0,0.1,0.09116823302454596,no_weight,0.09116823302454596,0.008831766975454042,0.8706,0.8695
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_4_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,0,0,0,-0.00245721773328369,PPW,-9.364969413789668e-4,9.364969413789668e-4,0.9201,0.9202
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,0,4,0,-7.43056826832932e-4,PPW,2.11642700104421e-4,2.11642700104421e-4,0.927,0.9267
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0,4,4,0,0.03646026958428305,MOPW,0.001377528027298234,0.001377528027298234,0.8725,0.8604
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_2_5__K_X_sev,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,0,4,0.1,0.08938054766039766,no_weight,0.08938054766039766,0.010619452339602348,0.8749,0.8746
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,4,0,0.1,0.09116823302454596,no_weight,0.09116823302454596,0.008831766975454042,0.8706,0.8695
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0,4,4,0.1,0.10659491350720593,no_weight,0.10659491350720593,0.006594913507205924,0.8608,0.8602
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_2_5__K_X_sev,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
